category;title;price;available_quantity;sold_quantity;permalink
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con Memoria Ram;8999;1;25;https://articulo.mercadolibre.com.ar/MLA-880138735-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-_JM
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con Memoria Ram;7999;1;5;https://articulo.mercadolibre.com.ar/MLA-873976887-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-_JM
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con Memoria Ram;10999;150;5;https://articulo.mercadolibre.com.ar/MLA-880141130-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-_JM
fire stick;Amazon Fire Tv Stick 4k Alexa Voice Remote New Caja Sellada;7900;1;2;https://articulo.mercadolibre.com.ar/MLA-902099297-amazon-fire-tv-stick-4k-alexa-voice-remote-new-caja-sellada-_JM
fire stick;Amazon Fire Tv 4k Stick Full Hd 8gb Alexa Control D Voz;9699;100;5;https://articulo.mercadolibre.com.ar/MLA-873977850-amazon-fire-tv-4k-stick-full-hd-8gb-alexa-control-d-voz-_JM
fire stick;Amazon Fire Tv Stick 4k Control De Voz Full Hd 8gb 4k;7999;100;5;https://articulo.mercadolibre.com.ar/MLA-873978680-amazon-fire-tv-stick-4k-control-de-voz-full-hd-8gb-4k-_JM
fire stick;Amazon Fire Tv Stick 4k Alexa Chromecast Netflix;7385;1;1;https://articulo.mercadolibre.com.ar/MLA-900542446-amazon-fire-tv-stick-4k-alexa-chromecast-netflix-_JM
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con Memoria Ram;8453.25;1;0;https://articulo.mercadolibre.com.ar/MLA-902676983-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-_JM
fire stick;Amazon Fire Tv Stick Negro Mando Voz Full Hd 8gb Ram 1gb;9449;1;0;https://articulo.mercadolibre.com.ar/MLA-901312804-amazon-fire-tv-stick-negro-mando-voz-full-hd-8gb-ram-1gb-_JM
fire stick;Amazon Fire Tv Stick 4k Alexa Voice Remote New Caja Sellada;7900;1;0;https://articulo.mercadolibre.com.ar/MLA-902101356-amazon-fire-tv-stick-4k-alexa-voice-remote-new-caja-sellada-_JM
fire stick;Amazon Fire Tv Stick 2da Generacion Voz Full Hd 8gb;10529;1;0;https://articulo.mercadolibre.com.ar/MLA-876151362-amazon-fire-tv-stick-2da-generacion-voz-full-hd-8gb-_JM
